Model,Best_Threshold,Val_F1,Val_ROC_AUC,Val_PR_AUC
XGBoost,0.9365460276603699,0.9911894272627791,0.9987183406113537,0.9944893044513241
Random Forest,0.385,0.9890109889609913,0.9949563318777292,0.9899792355136418
Decision Tree,1.0,0.9846827132979215,0.9905163755458516,0.9713992152709231
Logistic Regression,0.783101047483679,0.8677685949914666,0.991812227074236,0.9399172171351462
